,RMSE,MSE,MAE,Rounded RMSE,Rounded MSE,Rounded MAE,Accuracy
0,0.8475321157007476,0.7183106871441853,0.6740540908684469,0.9011841285826907,0.8121328336093436,0.6351956768064151,0.44579447398239347
1,0.8485405465263699,0.7200210590992705,0.6745529831520798,0.9016192567033069,0.8129172840582236,0.6353177024317964,0.4464743310380894
2,0.8465316351597503,0.7166158093262405,0.6728880675286015,0.9031936325652373,0.8157587379063889,0.6377407827072257,0.4438943606728842
3,0.8511264985231938,0.7244163164883523,0.6740506371219063,0.9030199099282568,0.8154449577268369,0.6329643510851565,0.45016996426392397
4,0.8521591379847585,0.7261751964509268,0.6745399877414722,0.9061225835914135,0.8210581364943781,0.6346378453761005,0.450483744443476
5,0.8465167722580367,0.7165906457141646,0.6738448407171411,0.8986077341336726,0.8074958598448532,0.6343240651965484,0.4450100235335135
6,0.8460720919419534,0.7158379847630333,0.6704251273200182,0.897559568367215,0.8056131787675412,0.6283273773206659,0.4524535866817746
7,0.8465102627096662,0.7165796248727881,0.6703953575778318,0.9043220162494535,0.8177983090734768,0.6363985008280311,0.4460908219297481
8,0.8489597754817741,0.7207327003860644,0.6742593791102293,0.9041563911859906,0.817498779722474,0.6360958092183251,0.44669130465100065
9,0.8475024868818041,0.7182604652708425,0.6739493861548215,0.9024677755507605,0.8144480859075378,0.6371591939195315,0.4437277735164912
10,0.848301490728629,0.7196154191724142,0.6725814293538266,0.9032883545550626,0.8159298514747926,0.6353636427027404,0.44648211421797646
AVG,0.8481593467178804,0.719377809880753,0.6732310260587614,0.9023219410375508,0.8141905467805315,0.6348659043265942,0.44702477263011564
,,,,,,,
,,Predicted 1,Predicted 2,Predicted 3,Predicted 4,Predicted 5
,True 3,0.019088319088319088,0.3125356125356125,0.44216524216524217,0.20313390313390314,0.023076923076923078
,True 4,0.0016911437472185136,0.04236760124610592,0.22269692923898532,0.5522919448153093,0.18095238095238095
,True 5,0.00018228691961146845,0.008879977083930107,0.0777063097315174,0.4939715111585636,0.41925991510637745
4,True 1,0.3879340582251841,0.49421255699754474,0.09821115398105927,0.01578393546124167,0.003858295334970186
,True 2,0.11695906432748537,0.5899122807017544,0.2565789473684211,0.03216374269005848,0.0043859649122807015
,True 3,0.019943019943019943,0.3022792022792023,0.4444444444444444,0.2170940170940171,0.01623931623931624
,True 4,0.0016911437472185136,0.05020026702269693,0.22874944370271474,0.5472185135736538,0.17214063195371607
,True 5,0.0002864508736751647,0.008541444233223092,0.07827921147886774,0.49048201869742974,0.4224108747168043
5,True 1,0.38512802525429674,0.5047351806383725,0.09470361276745001,0.013679410733076113,0.00175377060680463
,True 2,0.13742690058479531,0.581140350877193,0.25219298245614036,0.029239766081871343,0.0
,True 3,0.019373219373219373,0.3017094017094017,0.42934472934472934,0.2222222222222222,0.02735042735042735
,True 4,0.0008900756564307966,0.04539385847797063,0.2241210502892746,0.5506898086337338,0.17890520694259013
,True 5,0.00046873779328663315,0.007760214577745371,0.07301893179865107,0.5036327178979714,0.41511939793234554
6,True 1,0.40126271483689935,0.4914065240266573,0.09084531743247984,0.014731673097158891,0.00175377060680463
,True 2,0.1154970760233918,0.6271929824561403,0.2134502923976608,0.04239766081871345,0.0014619883040935672
,True 3,0.021082621082621083,0.31168091168091167,0.42934472934472934,0.21652421652421652,0.021367521367521368
,True 4,0.0015131286159323543,0.04530485091232755,0.2210057854917668,0.5527369826435247,0.17943925233644858
